Spikes_Times,Trial_index,UnitNum,Spike_Time_in_Trial,LogicStim,TrialOutcome,StimType,layer,Unit Type,Whisker
611.86045,129,44,1.7014970000000176,7,2,VTN,L2_3,RS,B2
615.034371,130,44,0.21088699999995697,13,2,RHR,L2_3,RS,C2
615.156903,130,44,0.333419000000049,13,2,RHR,L2_3,RS,C2
615.18367,130,44,0.3601859999999988,13,2,RHR,L2_3,RS,C2
615.190137,130,44,0.3666530000000421,13,2,RHR,L2_3,RS,C2
615.542102,130,44,0.7186179999999922,13,2,RHR,L2_3,RS,C2
615.560302,130,44,0.7368179999999711,13,2,RHR,L2_3,RS,C2
615.8748,130,44,1.0513160000000425,13,2,RHR,L2_3,RS,C2
615.9652,130,44,1.141715999999974,13,2,RHR,L2_3,RS,C2
616.342799,130,44,1.519315000000006,13,2,RHR,L2_3,RS,C2
629.487645,133,44,0.6984060000000909,3,2,VTN,L2_3,RS,C3
630.113009,133,44,1.3237700000000814,3,2,VTN,L2_3,RS,C3
630.193342,133,44,1.4041030000000774,3,2,VTN,L2_3,RS,C3
630.314642,133,44,1.5254030000000967,3,2,VTN,L2_3,RS,C3
684.86322,145,44,0.20820199999991473,13,2,RHR,L2_3,RS,C2
685.425018,145,44,0.7699999999999818,13,2,RHR,L2_3,RS,C2
685.431851,145,44,0.7768330000000105,13,2,RHR,L2_3,RS,C2
685.534184,145,44,0.879165999999941,13,2,RHR,L2_3,RS,C2
689.597801,146,44,0.2878920000000562,0,2,VTN,L2_3,RS,D3
694.180116,147,44,0.2163950000000341,4,2,VTN,L2_3,RS,C2
694.323315,147,44,0.3595940000000155,4,2,VTN,L2_3,RS,C2
694.327815,147,44,0.3640940000000228,4,2,VTN,L2_3,RS,C2
694.558914,147,44,0.5951929999999948,4,2,VTN,L2_3,RS,C2
698.888797,148,44,0.276224999999954,13,2,RHR,L2_3,RS,C2
699.377628,148,44,0.7650559999999587,13,2,RHR,L2_3,RS,C2
699.588361,148,44,0.9757889999999634,13,2,RHR,L2_3,RS,C2
717.459188,152,44,0.22008900000002996,4,2,VTN,L2_3,RS,C2
717.696587,152,44,0.4574880000000121,4,2,VTN,L2_3,RS,C2
717.777187,152,44,0.5380880000000161,4,2,VTN,L2_3,RS,C2
718.73495,152,44,1.495851000000016,4,2,VTN,L2_3,RS,C2
731.426631,155,44,0.216858000000002,12,2,RHR,L2_3,RS,C3
731.570598,155,44,0.3608249999999771,12,2,RHR,L2_3,RS,C3
736.084813,156,44,0.22086800000010953,11,2,RHR,L2_3,RS,D1
737.064942,156,44,1.2009970000000294,11,2,RHR,L2_3,RS,D1
737.418707,156,44,1.5547620000000961,11,2,RHR,L2_3,RS,D1
745.517074,158,44,0.34986600000002,16,2,RHR,L2_3,RS,B2
746.715669,158,44,1.5484610000000885,16,2,RHR,L2_3,RS,B2
750.985752,159,44,1.1641329999999925,9,2,RHR,L2_3,RS,D3
751.261951,159,44,1.4403319999998985,9,2,RHR,L2_3,RS,D3
751.725082,159,44,1.903462999999988,9,2,RHR,L2_3,RS,D3
751.730349,159,44,1.9087299999999914,9,2,RHR,L2_3,RS,D3
759.312318,161,44,0.17487500000004275,9,2,RHR,L2_3,RS,D3
759.746783,161,44,0.6093400000000884,9,2,RHR,L2_3,RS,D3
759.75175,161,44,0.6143070000000534,9,2,RHR,L2_3,RS,D3
759.997482,161,44,0.8600390000000289,9,2,RHR,L2_3,RS,D3
760.868945,161,44,1.7315020000000914,9,2,RHR,L2_3,RS,D3
764.244798,162,44,0.45242399999995087,3,2,VTN,L2_3,RS,C3
764.495231,162,44,0.7028569999999945,3,2,VTN,L2_3,RS,C3
764.512331,162,44,0.7199570000000222,3,2,VTN,L2_3,RS,C3
765.052162,162,44,1.2597879999999577,3,2,VTN,L2_3,RS,C3
765.302894,162,44,1.5105200000000423,3,2,VTN,L2_3,RS,C3
765.685792,162,44,1.893417999999997,3,2,VTN,L2_3,RS,C3
769.034812,163,44,0.587346000000025,3,2,VTN,L2_3,RS,C3
769.109045,163,44,0.6615790000000743,3,2,VTN,L2_3,RS,C3
769.808276,163,44,1.360810000000015,3,2,VTN,L2_3,RS,C3
774.782555,164,44,1.6820780000000468,12,2,RHR,L2_3,RS,C3
775.257887,164,44,2.157410000000027,12,2,RHR,L2_3,RS,C3
778.215675,165,44,0.45770600000003014,3,2,VTN,L2_3,RS,C3
778.374974,165,44,0.6170049999999492,3,2,VTN,L2_3,RS,C3
778.838139,165,44,1.0801699999999528,3,2,VTN,L2_3,RS,C3
778.909105,165,44,1.1511359999999513,3,2,VTN,L2_3,RS,C3
779.005205,165,44,1.2472360000000435,3,2,VTN,L2_3,RS,C3
779.170604,165,44,1.412635000000023,3,2,VTN,L2_3,RS,C3
787.292005,167,44,0.21793300000001636,12,2,RHR,L2_3,RS,C3
787.62757,167,44,0.5534979999999905,12,2,RHR,L2_3,RS,C3
801.65468,170,44,0.5639740000000302,2,2,VTN,L2_3,RS,D1
824.689886,175,44,0.21100300000000516,13,2,RHR,L2_3,RS,C2
824.957452,175,44,0.47856899999999314,13,2,RHR,L2_3,RS,C2
825.172451,175,44,0.6935680000000275,13,2,RHR,L2_3,RS,C2
825.597649,175,44,1.1187660000000506,13,2,RHR,L2_3,RS,C2
825.663982,175,44,1.1850990000000365,13,2,RHR,L2_3,RS,C2
825.855348,175,44,1.376465000000053,13,2,RHR,L2_3,RS,C2
838.874362,178,44,0.358284000000026,13,2,RHR,L2_3,RS,C2
839.195994,178,44,0.6799160000000484,13,2,RHR,L2_3,RS,C2
839.304127,178,44,0.7880490000000009,13,2,RHR,L2_3,RS,C2
863.077564,183,44,1.162789000000089,9,2,RHR,L2_3,RS,D3
867.268113,184,44,0.6702470000000176,3,2,VTN,L2_3,RS,C3
881.399256,187,44,0.7595560000000887,6,2,VTN,L2_3,RS,B3
881.413023,187,44,0.7733230000000049,6,2,VTN,L2_3,RS,B3
881.804321,187,44,1.164621000000011,6,2,VTN,L2_3,RS,B3
885.603806,188,44,0.2772139999999581,4,2,VTN,L2_3,RS,C2
885.720372,188,44,0.39377999999999247,4,2,VTN,L2_3,RS,C2
894.946534,190,44,0.2585589999999911,10,2,RHR,L2_3,RS,D2
894.955968,190,44,0.2679929999999331,10,2,RHR,L2_3,RS,D2
904.699795,192,44,0.6499579999999696,13,2,RHR,L2_3,RS,C2
905.02946,192,44,0.9796229999999468,13,2,RHR,L2_3,RS,C2
905.03366,192,44,0.9838230000000294,13,2,RHR,L2_3,RS,C2
914.765554,194,44,1.349333999999999,14,2,RHR,L2_3,RS,C1
918.544472,195,44,0.45080000000007203,0,2,VTN,L2_3,RS,D3
918.649305,195,44,0.5556330000000571,0,2,VTN,L2_3,RS,D3
918.684238,195,44,0.5905660000000807,0,2,VTN,L2_3,RS,D3
919.13107,195,44,1.0373980000000529,0,2,VTN,L2_3,RS,D3
919.144403,195,44,1.0507310000000416,0,2,VTN,L2_3,RS,D3
919.253169,195,44,1.1594969999999876,0,2,VTN,L2_3,RS,D3
919.559035,195,44,1.4653630000000248,0,2,VTN,L2_3,RS,D3
919.565935,195,44,1.472262999999998,0,2,VTN,L2_3,RS,D3
937.134597,199,44,0.3181999999999334,7,2,VTN,L2_3,RS,B2
937.520128,199,44,0.7037309999999479,7,2,VTN,L2_3,RS,B2
937.730694,199,44,0.9142969999999195,7,2,VTN,L2_3,RS,B2
937.784727,199,44,0.9683299999999235,7,2,VTN,L2_3,RS,B2
937.876627,199,44,1.0602299999999332,7,2,VTN,L2_3,RS,B2
937.948027,199,44,1.1316299999999728,7,2,VTN,L2_3,RS,B2
938.133859,199,44,1.3174619999999777,7,2,VTN,L2_3,RS,B2
938.236259,199,44,1.4198619999999664,7,2,VTN,L2_3,RS,B2
938.565791,199,44,1.7493939999999384,7,2,VTN,L2_3,RS,B2
953.167932,202,44,2.319580999999971,6,2,VTN,L2_3,RS,B3
956.08392,203,44,0.559957000000054,16,2,RHR,L2_3,RS,B2
956.09332,203,44,0.5693569999999681,16,2,RHR,L2_3,RS,B2
956.152153,203,44,0.6281900000000178,16,2,RHR,L2_3,RS,B2
970.134963,206,44,0.571205999999961,13,2,RHR,L2_3,RS,C2
970.429161,206,44,0.8654040000000123,13,2,RHR,L2_3,RS,C2
970.526994,206,44,0.9632369999999355,13,2,RHR,L2_3,RS,C2
970.597994,206,44,1.0342369999999619,13,2,RHR,L2_3,RS,C2
970.825527,206,44,1.2617699999999559,13,2,RHR,L2_3,RS,C2
979.639424,208,44,0.7232040000000097,17,2,RHR,L2_3,RS,B1
979.644191,208,44,0.727971000000025,17,2,RHR,L2_3,RS,B1
979.856057,208,44,0.9398370000000114,17,2,RHR,L2_3,RS,B1
980.471021,208,44,1.5548009999999977,17,2,RHR,L2_3,RS,B1
980.639087,208,44,1.7228670000000648,17,2,RHR,L2_3,RS,B1
983.888273,209,44,0.28792199999998047,4,2,VTN,L2_3,RS,C2
983.99944,209,44,0.3990890000000036,4,2,VTN,L2_3,RS,C2
984.077039,209,44,0.47668799999996736,4,2,VTN,L2_3,RS,C2
984.180139,209,44,0.5797880000000077,4,2,VTN,L2_3,RS,C2
1002.729397,213,44,0.4037599999999202,9,2,RHR,L2_3,RS,D3
1003.415294,213,44,1.0896569999999883,9,2,RHR,L2_3,RS,D3
1003.555594,213,44,1.229957000000013,9,2,RHR,L2_3,RS,D3
1003.573227,213,44,1.2475899999999456,9,2,RHR,L2_3,RS,D3
1007.337812,214,44,0.3309239999999818,0,2,VTN,L2_3,RS,D3
1007.347145,214,44,0.3402569999999514,0,2,VTN,L2_3,RS,D3
1008.55634,214,44,1.5494519999999739,0,2,VTN,L2_3,RS,D3
1012.70609,215,44,1.0206699999999955,14,2,RHR,L2_3,RS,C1
1030.67595,219,44,0.26448500000014974,2,2,VTN,L2_3,RS,D1
1031.193481,219,44,0.7820160000001124,2,2,VTN,L2_3,RS,D1
1054.039889,224,44,0.2187669999998434,12,2,RHR,L2_3,RS,C3
1063.684283,226,44,0.5059380000000147,2,2,VTN,L2_3,RS,D1
1096.599016,233,44,0.6619109999999182,13,2,RHR,L2_3,RS,C2
1096.603716,233,44,0.6666110000001026,13,2,RHR,L2_3,RS,C2
1096.888848,233,44,0.9517430000000786,13,2,RHR,L2_3,RS,C2
1096.911548,233,44,0.9744430000000648,13,2,RHR,L2_3,RS,C2
1097.004848,233,44,1.067743000000064,13,2,RHR,L2_3,RS,C2
1110.37216,236,44,0.40394099999980426,3,2,VTN,L2_3,RS,C3
1111.19349,236,44,1.2252710000000206,3,2,VTN,L2_3,RS,C3
1111.198923,236,44,1.2307039999998324,3,2,VTN,L2_3,RS,C3
1129.40445,240,44,0.7090650000000096,7,2,VTN,L2_3,RS,B2
1129.705615,240,44,1.0102300000000923,7,2,VTN,L2_3,RS,B2
1143.31796,243,44,0.5568210000001272,9,2,RHR,L2_3,RS,D3
1143.445359,243,44,0.6842200000000958,9,2,RHR,L2_3,RS,D3
1143.797758,243,44,1.0366189999999733,9,2,RHR,L2_3,RS,D3
1143.868091,243,44,1.106952000000092,9,2,RHR,L2_3,RS,D3
1143.872858,243,44,1.1117189999999937,9,2,RHR,L2_3,RS,D3
1166.730465,248,44,0.5573890000000574,9,2,RHR,L2_3,RS,D3
1167.01653,248,44,0.8434540000000652,9,2,RHR,L2_3,RS,D3
1167.12363,248,44,0.950554000000011,9,2,RHR,L2_3,RS,D3
1170.868215,249,44,0.011328000000048633,14,2,RHR,L2_3,RS,C1
1171.750044,249,44,0.8931569999999738,14,2,RHR,L2_3,RS,C1
1172.847407,249,44,1.9905200000000605,14,2,RHR,L2_3,RS,C1
1173.256038,249,44,2.3991510000000744,14,2,RHR,L2_3,RS,C1
1195.294849,254,44,1.0453040000002147,12,2,RHR,L2_3,RS,C3
1195.458615,254,44,1.2090700000001107,12,2,RHR,L2_3,RS,C3
1203.771981,256,44,0.1615740000002006,2,2,VTN,L2_3,RS,D1
1203.897314,256,44,0.2869070000001557,2,2,VTN,L2_3,RS,D1
1217.924557,259,44,0.2823949999999513,2,2,VTN,L2_3,RS,D1
1218.252956,259,44,0.6107939999999417,2,2,VTN,L2_3,RS,D1
1218.317122,259,44,0.6749599999998281,2,2,VTN,L2_3,RS,D1
1237.034279,263,44,0.6748720000000503,12,2,RHR,L2_3,RS,C3
1242.639757,264,44,1.6016979999999421,16,2,RHR,L2_3,RS,B2
1261.457514,268,44,1.6951699999999619,16,2,RHR,L2_3,RS,B2
1261.59208,268,44,1.8297359999999117,16,2,RHR,L2_3,RS,B2
1292.64202,275,44,0.09351599999990867,2,2,VTN,L2_3,RS,D1
1292.800853,275,44,0.2523489999998674,2,2,VTN,L2_3,RS,D1
1292.80882,275,44,0.2603159999998752,2,2,VTN,L2_3,RS,D1
1292.82292,275,44,0.2744159999999738,2,2,VTN,L2_3,RS,D1
1306.935196,278,44,0.3415379999999004,11,2,RHR,L2_3,RS,D1
1307.073595,278,44,0.47993700000006356,11,2,RHR,L2_3,RS,D1
1307.079428,278,44,0.48577000000000226,11,2,RHR,L2_3,RS,D1
1317.286154,280,44,1.3309130000000096,7,2,VTN,L2_3,RS,B2
1317.29132,280,44,1.3360790000001543,7,2,VTN,L2_3,RS,B2
1317.633752,280,44,1.6785110000000714,7,2,VTN,L2_3,RS,B2
1317.647619,280,44,1.6923780000001898,7,2,VTN,L2_3,RS,B2
1320.862706,281,44,0.22633399999995163,4,2,VTN,L2_3,RS,C2
1320.937439,281,44,0.3010670000001028,4,2,VTN,L2_3,RS,C2
1320.956072,281,44,0.31970000000001164,4,2,VTN,L2_3,RS,C2
1320.968139,281,44,0.33176700000012715,4,2,VTN,L2_3,RS,C2
1321.098038,281,44,0.46166600000015023,4,2,VTN,L2_3,RS,C2
1321.117471,281,44,0.48109900000008565,4,2,VTN,L2_3,RS,C2
1321.124138,281,44,0.48776599999996506,4,2,VTN,L2_3,RS,C2
1321.133905,281,44,0.4975329999999758,4,2,VTN,L2_3,RS,C2
1321.226971,281,44,0.5905990000001111,4,2,VTN,L2_3,RS,C2
1321.232271,281,44,0.595899000000145,4,2,VTN,L2_3,RS,C2
1321.249771,281,44,0.6133990000000722,4,2,VTN,L2_3,RS,C2
1321.296437,281,44,0.6600650000000314,4,2,VTN,L2_3,RS,C2
1321.906135,281,44,1.2697630000000117,4,2,VTN,L2_3,RS,C2
1321.914135,281,44,1.27776300000005,4,2,VTN,L2_3,RS,C2
1326.37525,282,44,1.0551460000001498,6,2,VTN,L2_3,RS,B3
1336.793308,284,44,2.1231410000000324,9,2,RHR,L2_3,RS,D3
1336.966707,284,44,2.29654000000005,9,2,RHR,L2_3,RS,D3
1348.965292,287,44,0.2580110000001241,0,2,VTN,L2_3,RS,D3
1353.771872,288,44,0.3852600000000166,4,2,VTN,L2_3,RS,C2
1353.829872,288,44,0.4432600000000093,4,2,VTN,L2_3,RS,C2
1353.851705,288,44,0.4650930000000244,4,2,VTN,L2_3,RS,C2
1353.961572,288,44,0.5749599999999191,4,2,VTN,L2_3,RS,C2
1354.027971,288,44,0.6413589999999658,4,2,VTN,L2_3,RS,C2
1354.676002,288,44,1.289389999999912,4,2,VTN,L2_3,RS,C2
1363.119201,290,44,0.3640459999999166,16,2,RHR,L2_3,RS,B2
1372.168798,292,44,0.05898000000001957,11,2,RHR,L2_3,RS,D1
